pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
PW Eagle,PW EAGLE INC,15242,PWEI,100.0,22-Jun-2007,2007,386.40,Public to Private,Industrial Supplies and Parts,JM Eagle (Walter Wang),Business Products and Services (B2B),Commercial Products
Seebeyond Technology,SEEBEYOND TECHNOLOGY CORP,134452,SBYN,100.0,26-Aug-2005,2005,386.00,,Automation/Workflow Software,Sun Microsystems (Jonathan Schwartz),Information Technology,Software
JRH Biosciences,IR BIOSCIENCES HOLDINGS INC,61895,IRBS,89.65517241379311,01-Mar-2005,2005,384.96,Corporate Divestiture,Biotechnology,Sigma-Aldrich Chemicals,Healthcare,Pharmaceuticals and Biotechnology
Bmp Sunstone,BMP SUNSTONE CORP,66198,BJGP,100.0,24-Feb-2011,2011,384.00,,Pharmaceuticals,Sanofi (PAR: SAN) (Christopher Viehbacher),Healthcare,Pharmaceuticals and Biotechnology
Ocata Therapeutics,OCATA THERAPEUTICS INC,150681,OCAT,100.0,10-Feb-2016,2016,384.00,,Drug Discovery,Astellas Pharma (TKS: 4503) (Yoshihiko Hatanaka),Healthcare,Pharmaceuticals and Biotechnology
Del Laboratories,DEL LABORATORIES INC,3840,DLI,100.0,02-Apr-2008,2008,383.40,Corporate Divestiture,Personal Products,Church & Dwight (NYS: CHD),Consumer Products and Services (B2C),Consumer Non-Durables
NuVox Communications,COX COMMUNICATIONS INC,31448,0059A,89.47368421052632,08-Feb-2010,2010,383.40,,Internet Service Providers,Uniti Group ( Arkansas) (Jeffery Gardner),Information Technology,Communications and Networking
Yardville National Bank,YARDVILLE NATIONAL BANCORP,60823,YANB,89.79591836734694,26-Oct-2007,2007,381.85,Public to Private,Regional Banks,The PNC Financial Services Group (NYS: PNC) (Joseph Guyaux),Financial Services,Commercial Banks
Borderfree,BORDERFREE INC,19830,BRDR,100.0,10-Jun-2015,2015,381.44,,Media and Information Services (B2B),Pitney Bowes (NYS: PBI) (Daniel Goldstein),Business Products and Services (B2B),Commercial Services
HR Textron,TEXTRON INC,10519,TXT,82.35294117647058,03-Apr-2009,2009,380.74,Corporate Divestiture,Aerospace and Defense,Woodward (NAS: WWD),Business Products and Services (B2B),Commercial Products
Accriva Diagnostics,AVANT DIAGNOSTICS INC,22760,AVDX.1,83.33333333333334,19-Jan-2017,2017,380.00,,Diagnostic Equipment,Instrumentation Laboratory (Ramon Benet),Healthcare,Healthcare Devices and Supplies
Alnara Pharmaceuticals,ALLENA PHARMACEUTICALS,32529,ALNAQ,90.9090909090909,20-Jul-2010,2010,380.00,,Drug Discovery,Eli Lilly (NYS: LLY),Healthcare,Pharmaceuticals and Biotechnology
Juno Lighting Group,JUNO LIGHTING INC,6297,JUNO.1,100.0,10-Dec-2015,2015,380.00,Corporate Divestiture,Electrical Equipment,Acuity Brands (NYS: AYI) (Vernon Nagel),Business Products and Services (B2B),Commercial Products
On Command,ON COMMAND CORP,63757,3ONCO,100.0,13-Dec-2006,2006,380.00,Corporate Divestiture,Electronics (B2C),SONIFI Solutions,Consumer Products and Services (B2C),Consumer Durables
Sequent Medical,SELECT MEDICAL CORP,141382,SEM.4,82.75862068965517,14-Jul-2016,2016,380.00,,Other Devices and Supplies,Terumo (TKS: 4543),Healthcare,Healthcare Devices and Supplies
Nash Finch,NASH FINCH CO,7691,NAFC,86.95652173913044,19-Nov-2013,2013,379.61,,Food Products,SpartanNash (Dennis Eidson),Consumer Products and Services (B2C),Consumer Non-Durables
TIMCO Aviation Services,TIMCO AVIATION SERVICES INC,63147,3TMAV,100.0,06-Feb-2014,2014,379.13,Corporate Divestiture,Aerospace and Defense,Swire Pacific (HKG: 00019),Business Products and Services (B2B),Commercial Products
Sequenom,SEQUENOM INC,128663,SQNM,100.0,07-Sep-2016,2016,379.10,,Monitoring Equipment,Laboratory Corporation of America (NYS: LH) (David King),Healthcare,Healthcare Devices and Supplies
Somerset Hills Bancorp,SOMERSET HILLS BANCORP,112101,SOMH,100.0,31-May-2013,2013,378.84,,Regional Banks,Lakeland Bank,Financial Services,Commercial Banks
Walker Group Holdings,WALKME LTD,38835,WKME,83.33333333333334,27-Mar-2012,2012,377.00,,Other Commercial Products,Wabash National (NYS: WNC) (Richard Giromini),Business Products and Services (B2B),Commercial Products
Hemacare,HEMACARE CORP,12684,HEMA,100.0,03-Jan-2020,2020,376.72,,Biotechnology,Charles River Laboratories International (NYS: CRL) (James Foster),Healthcare,Pharmaceuticals and Biotechnology
Amira Pharmaceuticals,AMAG PHARMACEUTICALS INC,12250,AMAG,92.6829268292683,07-Sep-2011,2011,375.00,,Drug Discovery,Bristol-Myers Squibb (NYS: BMY),Healthcare,Pharmaceuticals and Biotechnology
Coverity,VERITY INC,61401,VRTY.,85.71428571428572,25-Mar-2014,2014,375.00,,Software Development Applications,Synopsys (NAS: SNPS) (Aart De Geus),Information Technology,Software
Gores Holdings,GORES HOLDINGS V INC,36823,GRSV,83.33333333333334,04-Nov-2016,2016,375.00,,Special Purpose Acquisition Company (SPAC),Hostess Brands (Dean Metropoulos),Financial Services,Other Financial Services
iCrossing,INFOCROSSING INC,26557,IFOX,85.71428571428572,22-Jun-2010,2010,375.00,,Media and Information Services (B2B),Hearst Communications (Frank Bennack),Business Products and Services (B2B),Commercial Services
ID Analytics,MYND ANALYTICS INC,179111,MYND.1,84.61538461538461,31-Jan-2020,2020,375.00,,Media and Information Services (B2B),LexisNexis Risk Solutions (Rick Trainor),Business Products and Services (B2B),Commercial Services
Unified Grocers,UNIFIED GROCERS INC,2911,3089B,100.0,23-Jun-2017,2017,375.00,,General Merchandise Stores,Supervalu (Mark Gross),Consumer Products and Services (B2C),Retail
Wily Technology,WM TECHNOLOGY INC,39025,MAPS,85.71428571428572,05-Jan-2006,2006,375.00,,Vertical Market Software,CA Technologies,Information Technology,Software
Eagle Test Systems,EAGLE TEST SYSTEMS INC,160933,EGLT.1,100.0,14-Nov-2008,2008,374.39,,Application Specific Semiconductors,Teradyne (NAS: TER) (Michael Bradley),Information Technology,Semiconductors
Warrior Energy Services,WARRIOR ENERGY SERVICE CORP,22398,WARR.1,97.77777777777777,18-Jan-2007,2007,374.10,,Other Energy Services,Superior Energy Services (Terence Hall),Energy,Energy Services
Fisher Communications,FISHER COMMUNICATIONS INC,18364,FSCI,100.0,08-Aug-2013,2013,373.19,,"Broadcasting, Radio and Television",Sinclair Broadcast Group (NAS: SBGI) (David Smith),Consumer Products and Services (B2C),Media
Atritech,TRINTECH GROUP PLC,124049,TTPA,87.5,03-Mar-2011,2011,373.00,,Therapeutic Devices,Boston Scientific (NYS: BSX),Healthcare,Healthcare Devices and Supplies
Ipsen Biopharmaceuticals,EIGER BIOPHARMACEUTICALS INC,27046,EIGRQ,87.5,21-Oct-2008,2008,373.00,,Pharmaceuticals,Ipsen (Biotechnology) (PAR: IPN) (Jean-Luc Bélingard),Healthcare,Pharmaceuticals and Biotechnology
Convera,CONVERA CORP,4477,CNVR.,100.0,01-Sep-2009,2009,371.00,,Other Financial Services,Western Union (NYS: WU) (Christina Gold),Financial Services,Other Financial Services
Leiner Health Products,LEINER HEALTH PRODUCTS INC,124555,9796B,100.0,08-Aug-2008,2008,371.00,,Pharmaceuticals,The Bountiful Company,Healthcare,Pharmaceuticals and Biotechnology
Spectrum Laboratories,SPECTRUM LABORATORIES INC,9939,3SPTM,100.0,01-Aug-2017,2017,370.93,,Medical Supplies,Repligen (NAS: RGEN) (Tony Hunt),Healthcare,Healthcare Devices and Supplies
MPC Products,MMI PRODUCTS INC,117961,0142A,83.33333333333334,01-Oct-2008,2008,370.44,,Aerospace and Defense,Woodward (NAS: WWD) (Thomas Gendron),Business Products and Services (B2B),Commercial Products
Closure Medical,CLOSURE MEDICAL CORP,63617,CLSR,100.0,03-Jun-2005,2005,370.00,,Surgical Devices,Johnson & Johnson (NYS: JNJ) (Marc Molitor),Healthcare,Healthcare Devices and Supplies
Mtc Technologies,MTC TECHNOLOGIES INC,148652,MTCT,100.0,09-Jun-2008,2008,369.60,,Government,BAE Systems (LON: BA.) (Walt Havenstein),Business Products and Services (B2B),Other Business Products and Services
PortalPlayer,PORTALPLAYER INC,161012,PLAY.1,100.0,05-Jan-2007,2007,367.18,Public to Private,Application Specific Semiconductors,Nvidia (NAS: NVDA) (Jen-Hsun Huang),Information Technology,Semiconductors
Byram Healthcare,CORAM HEALTHCARE CORP,30442,3CRHEQ,87.5,01-Aug-2017,2017,367.00,Corporate Divestiture,Distributors (Healthcare),Accendra Health (NYS: ACH),Healthcare,Healthcare Services
CDMI,CDI CORP,2538,CDI,85.71428571428572,30-Apr-2014,2014,366.10,,Consulting Services (B2B),Magellan Health (Barry Smith),Business Products and Services (B2B),Commercial Services
AMX,AMX CORP,61556,AMXC,100.0,13-Jun-2014,2014,365.00,,Electronic Equipment and Instruments,Harman International Industries (Electronics) (Dinesh Paliwal),Information Technology,Computer Hardware
First Consulting Group,FIRST CONSULTING GROUP INC,66455,FCGI,100.0,10-Jan-2008,2008,365.00,,Consulting Services (B2B),Computer Sciences( IT Consulting and Outsourcing),Business Products and Services (B2B),Commercial Services
New World Pasta,NEW WORLD PASTA CO,148266,0128A,90.9090909090909,09-Jun-2006,2006,362.50,,Food Products,Riviana Foods,Consumer Products and Services (B2C),Consumer Non-Durables
FPIC Insurance Group,FPIC INSURANCE GROUP INC,63415,FPIC,100.0,19-Oct-2011,2011,362.00,,Life and Health Insurance,The Doctors Company (Richard Anderson),Financial Services,Insurance
Possis Medical,POSSIS MEDICAL INC,8687,POSS,100.0,02-Apr-2008,2008,361.00,,Surgical Devices,Medrad (John Friel),Healthcare,Healthcare Devices and Supplies
Baxa,AXA SA,63120,AXAHY,85.71428571428572,10-Nov-2011,2011,360.00,,Other Devices and Supplies,Baxter International (NYS: BAX) (Robert Davis),Healthcare,Healthcare Devices and Supplies
Bentley Pharmaceuticals,BENTLEY PHARMACEUTICALS,14285,BNT.3,100.0,22-Jul-2008,2008,360.00,,Drug Delivery,Teva Pharmaceutical Industries (TAE: TEVA) (Eliyahu Hurvitz),Healthcare,Pharmaceuticals and Biotechnology
BHC Investments,BCP INVESTMENT CORP,176256,BCIC,89.65517241379311,24-Mar-2005,2005,360.00,Corporate Divestiture,Other Capital Markets/Institutions,Fidelity,Financial Services,Capital Markets/Institutions
Force Protection,FORCE PROTECTION INC,114421,FRPT.1,100.0,19-Dec-2011,2011,360.00,,Other Transportation,General Dynamics (NYS: GD),Business Products and Services (B2B),Commercial Transportation
Mist Systems,MITEK SYSTEMS INC,14113,MITK,88.0,01-Apr-2019,2019,359.20,,Business/Productivity Software,Juniper Networks (Rami Rahim),Information Technology,Software
Clearwave Communications,CAREVIEW COMMUNICATIONS INC,160367,CRVW,85.1063829787234,08-Jan-2019,2019,358.80,,Telecommunications Service Providers,Cable One (NYS: CABO) (Julia Laulis),Information Technology,Communications and Networking
CollaGenex Pharmaceuticals,COLLAGENEX PHARMACEUTCLS INC,63084,CGPI.,96.0,11-Apr-2008,2008,358.00,,Pharmaceuticals,Galderma (SWX: GALD),Healthcare,Pharmaceuticals and Biotechnology
Evoq Properties,EVOQ PROPERTIES INC,176353,EVOQ,100.0,15-Oct-2014,2014,357.40,,Buildings and Property,"Affinius Capital, Atlas Capital Group, Square Mile Capital",Business Products and Services (B2B),Other Business Products and Services
ISN Software,IXOS SOFTWARE AG,114961,XOSYY,88.0,01-Jan-2013,2013,357.00,,Business/Productivity Software,,Information Technology,Software
Jive Communications,WJ COMMUNICATIONS INC,138943,WJCI,88.88888888888889,03-Apr-2018,2018,357.00,,Communication Software,GoTo (Business/Productivity Software) (William Wagner),Information Technology,Software
Authentec,AUTHENTEC INC,177650,AUTH.1,100.0,27-Jul-2012,2012,356.00,,General Purpose Semiconductors,Apple (NAS: AAPL),Information Technology,Semiconductors
EMC Insurance Group,EMC INSURANCE GROUP INC,16716,EMCI,100.0,19-Sep-2019,2019,356.00,Public to Private,Multi-line Insurance,Employers Mutual Casualty Company (David Proctor),Financial Services,Insurance
Mitchell Communications Group,WILTEL COMMUNICATIONS GROUP,124441,WTEL,86.36363636363636,01-Nov-2010,2010,355.99,,Media and Information Services (B2B),Dentsu International,Business Products and Services (B2B),Commercial Services
TriPath Imaging,TRIPATH IMAGING INC,65368,TPTH,100.0,20-Dec-2006,2006,355.66,,Diagnostic Equipment,"Becton, Dickinson and Company (NYS: BDX)",Healthcare,Healthcare Devices and Supplies
Market Leader,MARKET LEADER INC,161814,LEDR,100.0,20-Aug-2013,2013,355.00,,Media and Information Services (B2B),Trulia,Business Products and Services (B2B),Commercial Services
McNeil Technologies,MYCELX TECHNOLOGIES CORP,298540,5912B,89.47368421052632,27-Aug-2010,2010,355.00,,Government,AECOM (NYS: ACM) (John Dionisio),Business Products and Services (B2B),Other Business Products and Services
HOB Entertainment,TBA ENTERTAINMENT CORP,29728,TBA.1,88.23529411764706,06-Nov-2006,2006,354.00,,Leisure Facilities,Live Nation Entertainment (NYS: LYV) (Michael Rapino),Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure"
Silicon Storage Technology,SILICON STORAGE TECHNOLOGY,61592,SSTI.1,100.0,08-Apr-2010,2010,353.80,,General Purpose Semiconductors,Microchip Technology (NAS: MCHP),Information Technology,Semiconductors
Western Sierra Bank,WESTERN SIERRA BANCORP,64748,WSBA,87.8048780487805,02-Jun-2006,2006,353.70,Public to Private,Regional Banks,Umpqua Bank (Raymond Davis),Financial Services,Commercial Banks
BioReliance,BIORELIANCE CORP,65169,BREL,100.0,31-Jan-2012,2012,353.00,,BPO/Outsource Services,Sigma-Aldrich Chemicals,Business Products and Services (B2B),Commercial Services
KMG America,KMG AMERICA CORP,160995,KMA,100.0,09-Aug-2018,2018,353.00,Corporate Divestiture,Life and Health Insurance,Continental General Insurance (Thomas Killian),Financial Services,Insurance
Vionic Group,VIKONICS INC,13497,VKSI,85.71428571428572,18-Oct-2018,2018,352.70,,Footwear,Caleres (NYS: CAL) (Diane Sullivan),Consumer Products and Services (B2C),Apparel and Accessories
IRIS International,IRIS INTERNATIONAL INC,6110,IRIS,100.0,31-Oct-2012,2012,352.10,,Diagnostic Equipment,Beckman Coulter,Healthcare,Healthcare Devices and Supplies
Advance Medical,ALLIANCE MEDICAL CORP,145081,ALMC.1,83.87096774193549,31-May-2018,2018,351.70,,Practice Management (Healthcare),Teladoc Health (NYS: TDOC) (Jason Gorevic),Healthcare,Healthcare Services
Whiptail Technologies,WATCHIT TECHNOLOGIES INC,28597,WTCT,82.92682926829268,07-Nov-2013,2013,351.00,,Storage (IT),Cisco Systems (NAS: CSCO),Information Technology,Computer Hardware
Thinkorswim,THINKORSWIM GROUP INC,66325,SWIM.1,100.0,19-Sep-2006,2006,350.69,,Brokerage,Thinkorswim Group,,
Main Street Trust,MAIN STREET TRUST INC,133644,3MSTI,100.0,31-Jul-2007,2007,350.20,,National Banks,First Busey (NAS: BUSE),Financial Services,Commercial Banks
Alaven Pharmaceutical,ALLENA PHARMACEUTICALS,32529,ALNAQ,88.37209302325581,01-Oct-2010,2010,350.00,,Pharmaceuticals,Meda(Pharmaceuticals),Healthcare,Pharmaceuticals and Biotechnology
BBN Technologies,BK TECHNOLOGIES CORP,1117,BKTI,90.32258064516128,26-Oct-2009,2009,350.00,,IT Consulting and Outsourcing,Raytheon (William Swanson),Information Technology,IT Services
Cargo Holdings International,ARGO GROUP INTL HOLDINGS LTD,15364,ARGO,88.88888888888889,31-Dec-2007,2007,350.00,,Air,Air Transport Services Group (Joseph Hete),Business Products and Services (B2B),Commercial Transportation
CommunityOne Bank,COMMUNITY BANKS INC,16791,CMTY,87.5,26-Oct-2016,2016,350.00,,Regional Banks,Capital Bank Financial (Mark Redmond),Financial Services,Commercial Banks
Genia Technologies,MEDIA TECHNOLOGIES INC,180774,MDTC,88.88888888888889,03-Jun-2014,2014,350.00,,Biotechnology,Roche (SWX: ROG),Healthcare,Pharmaceuticals and Biotechnology
NIKU,NIKU CORP,132369,NIKU,100.0,09-Jun-2005,2005,350.00,,Business/Productivity Software,CA Technologies,Information Technology,Software
Sunrise Senior Living,SUNRISE SENIOR LIVING INC,62967,SRZ,100.0,21-Apr-2014,2014,350.00,Recapitalization,Elder and Disabled Care,"Cogir Senior Living Canada (Jeffrey Lozon), Welltower OP (NYS: WELL) (George Chapman)",Healthcare,Healthcare Services
North Pittsburgh Systems,NORTH PITTSBURGH SYSTEMS,7964,NPSI,100.0,31-Dec-2007,2007,347.00,,Telecommunications Service Providers,Consolidated Communications,Information Technology,Communications and Networking
Quigo Technologies,EZGO TECHNOLOGIES LTD,37304,EZGO,85.71428571428572,20-Dec-2007,2007,346.40,,Media and Information Services (B2B),Yahoo,Business Products and Services (B2B),Commercial Services
Conexant Systems,CONEXANT SYSTEMS INC,116526,CNXT.1,100.0,25-Jul-2017,2017,346.20,,General Purpose Semiconductors,Synaptics (NAS: SYNA) (Richard Bergman),Information Technology,Semiconductors
Merchants Bancshares,MERCHANTS BANCSHARES INC/VT,16929,MBVT,90.9090909090909,12-May-2017,2017,345.20,Corporate Divestiture,Regional Banks,Community Financial System (NYS: CBU) (Mark Tryniski),Financial Services,Commercial Banks
Aspen Marketing Services,ADVANCED MARKETING SERVICES,13503,MKTSQ.,82.35294117647058,31-May-2011,2011,345.00,,Media and Information Services (B2B),Epsilon Data Management,Business Products and Services (B2B),Commercial Services
Bioenvision,BIOENVISION INC,118733,BIVN,100.0,23-Oct-2007,2007,345.00,,Pharmaceuticals,Sanofi Genzyme,Healthcare,Pharmaceuticals and Biotechnology
Muzak,MUZAK LLC,148287,0125A,100.0,06-May-2011,2011,345.00,,"Broadcasting, Radio and Television",Mood Media,Consumer Products and Services (B2C),Media
Peanuts Worldwide,PENSON WORLDWIDE INC,164661,PNSNQ,84.84848484848484,30-Jun-2017,2017,345.00,Corporate Divestiture,Publishing,WildBrain (TSE: WILD) (Dana Landry),Consumer Products and Services (B2C),Media
Cowlitz Bancorporation,COWLITZ BANCORPORATION,66648,CWLZ,100.0,30-Jul-2010,2010,344.80,,Regional Banks,Heritage Financial (NAS: HFWA),Financial Services,Commercial Banks
Energysouth,ENERGYSOUTH INC,66404,ENSI,100.0,27-May-2016,2016,344.00,,Energy Transportation,Spire (Saint Louis) (NYS: SR) (Suzanne Sitherwood),Energy,Energy Services
Easylink Services International,EASYLINK SERVICES INTL CORP,31381,ESIC,100.0,02-Jul-2012,2012,342.30,,Internet Service Providers,OpenText (TSE: OTEX),Information Technology,Communications and Networking
Pervasis Therapeutics,PREVAIL THERAPEUTICS INC,35266,PRVL,85.71428571428572,19-Apr-2012,2012,341.50,,Therapeutic Devices,Shire,Healthcare,Healthcare Devices and Supplies
Yodle,YODLEE INC,21017,YDLE,90.9090909090909,09-Mar-2016,2016,341.30,,Media and Information Services (B2B),Newfold Digital (David Brown),Business Products and Services (B2B),Commercial Services
RAE Systems,RAE SYSTEMS INC,111169,RAE,100.0,04-Jun-2013,2013,340.00,,Electronic Equipment and Instruments,Honeywell (NAS: HON),Information Technology,Computer Hardware
Stec,STEC INC,134384,STEC.1,100.0,12-Sep-2013,2013,340.00,,Storage (IT),Western Digital (NAS: WDC) (Stephen Milligan),Information Technology,Computer Hardware
Veran Medical Technologies,VNUS MEDICAL TECHNOLOGIES,141276,VNUS,90.19607843137256,30-Dec-2020,2020,340.00,,Diagnostic Equipment,Olympus Innovation Ventures (Nacho Abia),Healthcare,Healthcare Devices and Supplies
Hawaiian Telcom Holdco,HAWAIIAN TELCOM HOLDCO INC,185980,HCOM.1,100.0,02-Jul-2018,2018,339.50,,Telecommunications Service Providers,Altafiber (Leigh Fox),Information Technology,Communications and Networking
Kaydon,KAYDON CORP,6357,KDN,100.0,30-Jun-2016,2016,339.00,Corporate Divestiture,Industrial Supplies and Parts,Stabilus (ETR: STM),Business Products and Services (B2B),Commercial Products
Noventis,ENVENTIS CORP,6995,ENVE,87.5,24-Jan-2019,2019,338.70,,Other Financial Services,WEX (NYS: WEX) (Melissa Smith),Financial Services,Other Financial Services
