pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
Empire Resources,EMPIRE RESOURCES INC,63698,ERS,100.0,05-May-2017,2017,185.25,,Distributors/Wholesale,Ta Chen Stainless Pipe (TAI: 2027),Business Products and Services (B2B),Commercial Products
Lumenos,LUMENIS LTD,19845,LMNS,85.71428571428572,09-Jun-2005,2005,185.00,,Other Healthcare Services,Elevance Health (NYS: ELV),Healthcare,Healthcare Services
Wellman,WELLMAN INC,13407,3WMANQ,100.0,01-Sep-2011,2011,185.00,,Synthetic Textiles,DAK Americas,Materials and Resources,Textiles
RFS Pharma,ZS PHARMA INC,20611,ZSPH,84.21052631578947,25-Nov-2014,2014,184.78,,Drug Discovery,Cocrystal Pharma (NAS: COCP) (Gary Wilcox),Healthcare,Pharmaceuticals and Biotechnology
Alcan,ALCAN INC,1243,AL.1,100.0,28-Mar-2006,2006,184.70,,Plastic Containers and Packaging,Ball (NYS: BALL) (David Hoover),Materials and Resources,Containers and Packaging
Seal Software,SERENA SOFTWARE INC,118321,SRNA.1,85.71428571428572,01-May-2020,2020,184.70,,Business/Productivity Software,Docusign (NAS: DOCU) (Scott Olrich),Information Technology,Software
Virsto Software,VERO SOFTWARE PLC,231905,VERSY,85.71428571428572,11-Feb-2013,2013,184.49,,Database Software,VMware,Information Technology,Software
Navis,AVIS GROUP HOLDINGS INC,65056,AVI.1,88.88888888888889,21-Mar-2011,2011,184.09,Corporate Divestiture,Business/Productivity Software,Hiab (HEL: HIAB),Information Technology,Software
Moldflow,MOLDFLOW CORP,133430,MFLO,100.0,25-Jun-2008,2008,183.50,,Automation/Workflow Software,Autodesk (NAS: ADSK),Information Technology,Software
Datawatch,DATAWATCH CORP,25320,DWCH,100.0,12-Dec-2018,2018,183.42,,Business/Productivity Software,Altair Engineering (Business/Productivity Software) (James Scapa),Information Technology,Software
MHM Services,MHM SERVICES INC,28786,MHMI,100.0,02-Apr-2018,2018,183.00,,Other Healthcare Services,Centene (NYS: CNC) (Michael Neidorff),Healthcare,Healthcare Services
Swift Financial,SI FINANCIAL GROUP INC,160667,SIFI.1,88.88888888888889,01-Sep-2017,2017,183.00,,Specialized Finance,PayPal Holdings (NAS: PYPL) (Darrell Esch),Financial Services,Other Financial Services
Virginia Heritage Bank,VIRGINIA HERITAGE BANK,179247,VGBK,100.0,31-Oct-2014,2014,182.90,,Regional Banks,EagleBank (NAS: EGBN) (Ronald Paul),Financial Services,Commercial Banks
SI Financial Group,SI FINANCIAL GROUP INC,160667,SIFI.1,100.0,17-May-2019,2019,182.20,,Regional Banks,Beacon Financial. (Richard Marotta),Financial Services,Commercial Banks
Corio,CORIO INC,137864,CRIO,100.0,16-Mar-2005,2005,182.00,,IT Consulting and Outsourcing,International Business Machines (NYS: IBM),Information Technology,IT Services
Metastorm,METAL STORM LTD,244818,MTSXY,90.0,18-Feb-2011,2011,182.00,,Application Software,OpenText (TSE: OTEX) (Paul McFeeters),Information Technology,Software
